PM2.5,PM10,NO2,SO2,CO,O3,AQI
175.27,197.25,123.69,79.91,3.41,143.84,208.76
17.9,155.55,34.77,96.73,2.38,110.5,105.48
41.29,202.37,166.96,73.26,3.07,81.52,147.58
169.8,235.86,74.31,99.3,0.56,141.52,165.82
106.23,83.74,59.9,65.8,4.43,94.77,155.49
220.11,361.35,168.97,23.31,2.76,110.22,245.99
197.43,272.93,14.78,21.97,0.3,45.98,149.32
254.45,256.97,82.34,33.81,4.61,90.4,251.58
209.29,48.8,77.15,2.7,2.5,25.8,146.65
131.83,245.63,60.54,68.81,4.36,63.65,192.71
203.53,57.17,182.79,28.33,4.3,9.82,189.05
86.24,40.69,151.43,81.89,4.1,36.41,140.46
95.36,215.65,17.47,37.2,0.4,15.86,96.01
237.75,167.09,144.36,49.04,1.31,61.23,183.92
136.69,239.64,107.82,96.64,4.39,127.24,213.38
240.52,44.8,180.67,25.73,4.51,59.8,211.39
247.61,178.08,66.02,72.68,2.34,125.59,205.84
257.98,78.17,116.96,76.0,2.26,100.19,192.84
275.41,394.97,102.65,23.66,0.96,78.88,233.12
132.14,228.85,100.46,51.1,4.85,39.35,197.39
99.07,278.1,93.94,36.32,1.14,138.71,150.94
176.75,136.91,45.1,77.65,1.04,12.86,130.07
114.5,46.95,152.36,63.0,3.34,104.89,150.14
182.32,390.59,93.01,48.65,1.29,95.08,203.47
213.15,121.64,191.91,78.38,4.7,68.95,227.05
208.08,175.29,55.86,25.05,0.15,39.85,137.45
115.49,263.45,138.14,75.85,0.13,67.45,139.23
54.22,19.63,188.44,86.81,2.57,131.55,120.9
132.01,326.0,134.37,88.1,2.49,126.33,203.29
47.07,219.27,174.9,78.8,0.9,141.5,131.53
267.58,118.5,166.36,41.99,2.52,49.63,205.18
107.03,34.03,75.22,98.22,2.12,61.13,111.65
50.57,73.37,122.02,39.2,4.46,7.72,125.22
12.51,359.06,35.47,64.59,0.15,141.73,112.03
195.52,277.55,109.43,17.79,4.88,52.76,233.08
192.89,107.46,49.93,98.08,3.16,63.6,172.88
105.48,35.58,150.03,70.99,0.84,136.63,112.07
26.16,279.34,107.97,75.83,0.33,81.36,107.25
125.84,233.24,85.19,8.45,2.74,87.1,164.72
96.81,167.76,57.42,76.81,1.25,30.55,111.92
204.75,151.81,199.75,77.92,1.58,77.31,185.25
183.7,94.56,18.98,67.83,1.3,138.14,142.26
112.56,271.15,13.49,30.61,3.29,86.01,166.53
69.28,388.56,47.37,49.99,2.81,41.99,166.01
296.47,78.53,194.36,12.82,0.48,9.52,173.39
138.93,242.88,195.95,48.22,2.68,53.76,186.63
208.04,175.43,132.71,25.89,3.98,88.03,213.66
46.46,184.21,176.62,36.21,0.5,11.18,94.69
148.25,109.12,46.72,17.93,4.46,93.42,170.83
13.12,331.8,194.55,24.55,2.93,80.9,159.39
154.11,199.25,32.84,9.5,4.76,118.6,196.53
289.39,221.93,24.72,92.15,0.83,9.19,186.83
118.34,128.86,26.88,53.98,4.97,118.22,174.8
16.5,80.91,116.76,40.88,3.26,80.53,105.32
14.13,43.51,157.29,54.43,2.88,58.73,95.41
119.46,288.51,76.5,63.57,2.62,144.98,184.44
52.21,86.53,195.69,92.34,0.22,28.22,84.25
11.89,279.13,89.71,19.51,4.7,83.49,159.08
228.08,162.25,34.34,30.96,3.26,51.54,188.49
140.26,172.15,95.86,97.63,0.55,81.49,135.14
90.33,192.98,137.41,38.38,0.2,85.08,114.98
270.52,153.41,167.28,4.21,0.35,17.97,172.33
39.26,49.24,94.46,16.47,3.09,100.86,102.79
287.0,130.76,120.75,4.58,3.11,97.0,220.7
97.62,268.86,57.13,99.01,2.55,116.57,167.0
267.08,269.66,130.95,29.33,1.6,18.15,210.11
182.87,121.63,197.26,92.51,2.71,48.1,184.11
248.88,189.44,14.57,99.6,2.63,99.27,203.92
295.28,85.44,177.87,60.78,0.2,24.83,174.61
90.08,92.05,114.65,5.25,1.48,103.25,109.91
288.53,18.99,54.16,10.0,0.36,13.56,135.78
119.9,359.73,191.2,49.2,4.51,53.57,229.2
118.73,92.18,99.25,41.8,3.65,127.77,158.96
105.41,98.74,69.68,61.41,4.98,117.27,170.81
164.72,119.04,40.39,45.01,1.58,98.49,138.74
50.47,59.69,52.67,93.54,4.4,131.22,135.13
168.34,259.31,167.41,54.4,3.05,107.84,211.75
164.8,39.31,124.81,69.99,2.32,80.31,146.35
229.76,62.34,183.08,89.86,1.19,147.06,180.74
250.93,261.46,50.23,16.39,3.72,105.75,233.47
134.93,142.47,28.62,24.51,4.53,92.2,170.99
94.19,286.1,6.19,12.52,1.25,64.29,125.51
81.5,227.4,104.03,15.68,0.96,135.85,130.02
62.41,109.85,199.67,52.23,3.51,47.88,141.96
22.01,263.82,140.52,33.48,4.89,6.34,160.25
106.02,55.35,65.14,43.47,3.77,33.53,129.25
84.72,219.2,175.99,98.28,1.49,20.88,139.5
290.09,180.49,157.44,17.36,2.16,51.25,217.54
169.52,114.47,8.01,55.0,1.98,124.75,145.86
107.45,245.56,164.29,11.69,4.28,99.47,196.95
176.24,349.82,63.6,33.21,3.88,29.5,215.94
46.06,399.57,34.19,53.7,2.99,119.38,171.53
135.99,247.03,49.13,94.77,1.45,78.11,154.08
189.74,167.84,96.37,40.34,4.7,79.34,210.3
149.22,97.83,87.85,8.36,3.3,57.51,151.41
123.52,110.27,61.33,40.04,4.86,130.37,177.05
298.19,196.99,38.58,16.28,2.94,51.16,217.9
264.69,153.24,153.64,24.54,4.12,18.65,226.68
188.9,366.39,198.07,62.57,4.08,48.9,253.41
172.97,153.64,156.67,8.61,1.75,108.73,166.88
188.09,155.64,62.71,47.54,4.82,100.35,207.93
64.39,159.58,52.74,61.73,0.21,32.26,79.71
121.57,336.28,47.44,43.34,3.87,21.21,188.52
16.64,263.81,31.66,3.87,4.83,100.83,152.15
145.29,249.53,112.51,98.58,1.76,103.07,176.63
165.19,140.32,123.05,37.98,3.28,58.09,174.25
72.19,328.98,142.57,78.3,2.85,127.21,185.79
289.39,24.96,137.64,33.91,3.83,146.84,224.28
273.29,349.61,62.0,48.55,4.34,34.82,263.78
218.03,209.97,69.41,40.07,3.05,88.67,202.75
162.35,165.32,137.9,35.57,4.1,5.78,184.58
261.64,203.9,73.14,4.14,1.63,108.39,197.53
43.54,270.29,46.46,37.28,1.22,65.07,110.23
238.2,14.98,78.0,89.17,2.21,33.02,157.0
41.82,349.91,58.06,69.66,3.42,114.07,170.81
239.29,184.23,22.22,16.25,1.02,122.54,171.17
86.35,143.76,166.88,59.93,3.43,21.12,148.99
263.74,63.92,171.36,89.44,2.03,10.94,185.03
283.49,181.39,47.85,70.6,4.0,53.44,231.9
48.89,203.57,17.63,16.57,0.28,95.77,83.15
141.49,167.42,149.07,87.05,3.37,120.05,189.75
294.39,274.68,46.25,31.55,3.28,84.18,244.67
147.61,174.15,81.72,46.5,4.71,89.21,194.82
259.75,384.95,17.51,53.56,3.6,120.98,260.95
178.68,243.72,49.12,85.35,4.0,81.68,208.4
115.72,324.92,159.62,93.3,4.53,93.62,226.57
89.31,52.65,161.86,93.11,3.41,79.85,142.94
64.95,164.94,45.38,2.78,1.52,132.67,108.78
229.73,141.37,70.5,92.35,4.36,39.15,211.28
119.03,232.1,31.18,7.33,3.76,43.28,162.38
155.83,345.83,19.46,28.05,2.18,23.55,173.45
150.24,40.55,198.47,52.47,3.58,123.82,175.52
175.3,38.3,132.84,49.03,4.35,64.71,177.59
260.35,341.62,110.71,61.26,4.88,55.44,276.72
294.32,93.01,154.27,48.99,4.77,147.3,257.96
125.24,270.81,168.82,93.57,1.69,139.39,185.26
249.12,221.72,162.31,25.57,2.17,145.94,225.28
230.54,334.83,8.23,28.85,0.64,25.63,176.7
174.19,58.78,41.43,92.23,1.31,134.23,136.7
287.03,60.62,132.71,9.52,4.42,52.66,222.05
64.14,227.16,78.27,61.74,1.87,6.84,118.05
37.23,379.09,196.58,68.81,3.14,61.74,183.45
256.92,171.85,134.75,51.54,3.36,78.83,224.78
134.55,137.51,191.53,70.03,3.93,20.69,179.12
254.86,246.61,44.28,18.93,1.0,82.96,187.18
268.46,372.87,173.47,85.56,1.59,123.82,259.01
23.42,336.4,67.66,15.72,2.3,59.76,131.79
265.62,398.24,197.97,41.28,1.89,56.13,256.46
137.25,18.8,35.75,9.38,4.92,54.13,146.82
155.58,54.01,105.69,55.43,4.19,138.85,178.13
189.84,247.69,159.6,67.64,2.45,12.07,194.75
278.28,330.02,89.37,94.24,4.41,69.54,276.7
10.64,121.25,96.28,74.45,1.8,43.37,83.95
145.67,103.29,197.34,55.03,3.95,134.6,193.48
207.88,316.92,87.94,93.4,1.2,18.93,189.84
218.2,31.99,122.79,48.89,3.88,64.66,184.95
209.3,154.06,15.64,57.0,2.34,63.99,167.22
44.66,207.27,169.23,60.42,0.63,133.82,120.22
93.32,228.54,131.39,42.18,1.44,36.25,133.98
110.82,294.16,83.78,84.17,2.07,98.51,169.99
242.31,148.39,8.15,20.15,3.77,24.49,190.09
87.23,248.95,120.38,56.37,0.46,143.33,136.74
67.16,238.3,7.47,72.78,3.33,90.99,146.55
287.45,223.57,5.23,90.59,3.61,95.81,238.04
7.61,259.79,125.14,88.62,3.3,67.9,142.38
299.36,111.19,41.86,51.86,3.83,54.63,219.05
204.66,43.01,42.42,65.03,0.97,35.84,123.3
249.4,56.52,132.39,40.64,2.98,92.58,193.52
91.91,97.59,15.47,47.88,4.71,143.41,155.58
9.22,205.08,66.11,90.81,3.09,57.17,118.67
222.67,337.77,34.14,93.21,3.1,133.06,237.46
251.07,283.5,118.13,89.75,3.71,26.57,243.44
223.44,317.73,134.04,15.56,1.73,140.74,221.69
47.14,146.88,145.62,85.31,3.53,55.82,139.96
227.26,167.81,54.77,94.94,4.59,60.06,220.03
231.83,163.54,22.4,37.4,0.15,72.11,145.66
199.27,84.83,20.34,52.83,4.36,109.15,186.83
231.0,33.87,88.1,78.35,1.17,109.35,154.2
254.55,240.46,189.44,57.08,2.33,74.54,230.23
186.01,395.79,47.46,99.36,4.28,80.86,246.9
31.14,75.06,55.06,46.66,4.14,9.35,103.85
148.85,28.21,24.67,71.97,4.47,49.12,150.5
27.91,314.02,123.09,79.67,4.71,55.17,179.29
125.23,108.51,137.58,50.42,2.29,86.02,144.74
125.1,333.56,130.37,85.98,3.32,85.95,207.54
24.47,284.54,172.92,55.52,2.01,107.94,144.58
107.9,378.81,99.85,42.34,1.82,108.97,181.76
37.74,169.48,31.22,12.57,2.21,39.11,94.02
243.43,268.17,61.43,40.55,3.74,116.68,237.89
284.57,191.29,134.17,73.93,2.56,7.84,219.14
26.33,255.93,124.56,92.29,4.09,108.84,167.29
286.76,185.34,108.55,26.66,3.75,19.8,229.96
159.16,83.57,138.18,36.81,0.2,110.8,124.41
93.37,208.08,129.29,17.09,3.19,81.43,160.1
27.67,216.15,176.86,69.69,2.24,68.4,131.65
152.68,326.14,119.27,96.1,2.34,105.15,204.64
239.38,296.85,156.83,64.81,4.11,10.27,248.32
213.59,268.88,53.5,62.47,2.78,37.4,200.84
19.82,54.22,137.25,56.24,4.44,94.38,125.73
26.51,291.04,180.93,10.67,3.59,127.85,170.08
123.85,205.12,80.22,73.49,2.81,60.26,161.12
92.11,358.7,156.93,61.0,3.8,42.52,201.56
73.55,368.75,146.33,66.82,0.29,80.22,148.16
87.9,31.51,16.61,90.08,0.23,95.24,70.74
242.03,330.05,118.39,78.83,0.51,65.91,205.98
279.12,24.7,30.39,78.53,2.24,132.12,182.48
124.51,153.2,193.63,92.86,1.25,80.9,149.71
272.3,221.5,163.22,99.01,4.92,10.19,262.98
99.84,67.76,26.4,58.97,2.76,37.34,110.3
145.55,301.06,28.74,12.67,3.35,70.34,184.75
71.68,13.26,120.92,46.99,1.47,106.17,92.08
193.94,75.75,72.25,79.18,1.68,36.86,142.17
293.8,236.51,11.81,4.72,1.74,146.56,215.2
183.03,288.61,110.62,7.57,3.52,51.19,208.82
110.56,367.49,80.63,8.58,2.42,82.21,179.32
196.11,285.14,24.71,73.64,2.64,7.75,187.25
41.26,271.99,161.37,51.11,3.0,133.31,165.23
267.15,163.79,183.44,38.15,3.87,119.38,246.87
153.41,10.5,152.54,12.35,0.54,33.34,100.72
137.56,56.86,165.37,73.76,3.91,140.32,178.23
177.83,218.48,47.22,33.46,2.86,50.8,175.77
189.31,273.3,56.4,28.0,3.38,105.37,208.13
26.17,172.8,45.66,65.93,1.71,123.75,102.61
206.37,294.96,154.19,56.78,2.11,112.43,218.8
76.37,213.53,189.84,37.52,1.23,138.05,144.68
215.62,38.93,144.78,64.87,4.9,130.32,215.26
247.65,84.89,176.89,28.58,2.54,149.22,205.84
242.17,337.6,129.55,79.89,4.98,31.48,271.24
167.99,292.72,80.59,24.47,2.5,49.19,185.15
158.45,358.96,88.02,17.57,1.18,97.25,182.37
47.15,55.85,19.69,78.68,2.59,111.29,96.34
233.73,396.19,11.13,71.37,0.29,82.52,198.32
85.07,91.67,140.62,19.9,4.53,15.72,145.8
151.53,14.59,90.49,13.39,4.11,127.03,159.16
88.86,398.99,112.68,84.16,3.66,144.33,217.16
44.48,119.62,113.74,78.11,3.09,63.8,122.48
190.72,270.53,59.09,34.07,2.94,37.6,192.42
21.03,78.91,97.8,66.5,4.98,7.8,121.44
225.85,236.29,96.8,14.17,1.46,39.41,181.38
98.69,362.57,80.74,51.69,3.92,106.49,204.05
5.04,134.87,165.03,3.84,2.95,137.18,118.94
155.78,271.4,92.98,40.38,4.88,18.56,210.59
18.82,83.28,122.71,9.33,4.16,85.22,118.65
86.47,253.67,179.63,48.56,4.99,105.85,207.89
213.56,141.22,173.92,43.32,2.98,45.08,195.59
23.49,92.37,178.63,45.55,1.1,87.64,88.9
252.6,132.14,57.65,6.44,2.57,108.71,191.59
6.13,79.75,11.82,37.44,3.58,126.47,96.65
77.81,361.75,55.91,76.14,3.89,70.61,188.48
223.57,164.9,59.35,38.15,0.1,113.44,153.68
98.3,105.66,182.33,72.09,2.57,48.76,140.94
35.06,184.88,131.6,38.21,1.25,35.89,98.73
111.27,135.01,20.93,43.48,4.39,32.16,149.63
84.77,300.32,31.4,57.26,0.85,57.04,125.7
253.6,388.78,35.36,95.17,3.37,10.2,246.03
97.44,180.83,127.93,12.67,1.4,46.03,123.56
237.74,345.8,148.41,5.23,1.85,99.57,229.68
268.1,230.69,172.63,61.58,4.71,98.95,270.9
132.98,71.32,188.42,95.01,1.28,15.67,126.74
273.43,279.34,44.33,98.99,0.57,46.68,197.28
116.31,210.24,65.41,49.45,0.44,87.59,123.06
289.4,263.74,51.86,47.87,2.57,51.19,227.34
31.34,356.98,74.96,65.21,3.24,65.61,160.2
207.67,181.77,183.36,56.45,1.7,108.36,194.38
150.68,361.46,117.15,64.14,3.48,6.34,209.73
119.36,302.76,148.95,87.65,0.4,45.08,152.15
191.65,200.56,100.57,75.14,4.3,25.64,207.73
212.64,245.26,10.63,50.69,4.1,23.5,205.81
6.29,136.98,17.52,47.26,4.93,144.06,132.81
54.25,393.6,109.89,64.68,4.69,59.6,202.65
215.35,270.27,145.16,46.66,1.85,81.43,206.53
201.58,27.1,46.99,46.86,2.06,111.4,145.35
289.98,137.38,145.77,3.6,3.76,11.88,223.81
229.51,253.09,163.08,19.06,0.76,39.95,186.14
285.48,31.97,85.32,49.87,1.64,125.66,181.8
212.25,19.31,150.55,82.62,0.68,129.99,149.32
92.93,185.51,83.79,29.32,2.33,59.08,133.57
36.08,139.75,137.28,53.22,2.8,59.35,119.27
235.64,180.94,153.98,35.81,1.13,114.75,191.35
195.02,112.45,198.43,12.27,0.23,47.79,142.12
19.21,74.24,72.35,95.91,3.62,21.98,100.65
111.21,278.77,85.15,85.76,0.2,42.34,130.91
287.26,210.68,37.3,9.69,4.87,61.16,245.82
152.62,88.06,44.79,72.54,1.19,12.57,112.31
132.66,134.64,140.21,36.06,3.35,74.41,166.09
140.02,240.81,183.82,99.5,2.23,112.3,191.99
66.62,38.17,81.95,31.64,0.39,79.49,67.55
113.77,67.51,40.07,25.4,2.41,15.42,106.08
114.09,38.57,60.59,57.65,2.63,68.82,118.01
20.44,326.8,93.74,83.84,4.29,107.79,176.47
231.43,303.44,61.68,20.87,3.69,13.42,221.94
127.87,303.79,50.55,71.52,0.49,13.68,136.02
247.54,289.37,148.52,8.02,1.12,58.74,205.65
255.85,271.06,6.53,92.06,1.63,33.27,196.15
67.54,196.03,110.15,9.95,0.67,140.54,114.88
198.92,260.49,159.78,91.59,2.34,89.29,213.27
144.32,24.96,56.91,50.1,4.92,46.66,157.11
264.65,252.37,122.64,45.91,2.62,107.19,234.72
68.64,313.37,135.44,97.38,3.74,59.36,185.12
204.95,205.14,132.73,99.06,3.45,24.16,208.14
184.29,149.43,91.94,65.72,4.26,39.4,193.84
92.11,118.2,72.58,14.46,1.16,98.2,104.9
45.3,260.69,168.01,51.6,3.79,12.52,159.4
197.23,280.19,152.9,53.86,4.42,44.54,236.21
222.89,349.68,67.64,52.42,0.94,35.21,193.87
98.11,143.51,25.09,57.81,1.8,34.16,109.61
195.23,310.21,19.0,3.84,4.85,104.0,231.77
121.56,228.93,23.38,71.7,3.93,124.74,182.69
215.4,354.31,118.66,71.81,1.48,108.8,220.59
63.77,215.85,15.07,13.32,2.86,98.63,130.01
267.61,211.88,70.7,57.88,2.08,137.89,217.71
89.79,235.37,151.87,57.7,2.5,13.47,151.07
113.5,302.23,62.4,68.88,1.84,29.29,154.09
22.14,386.23,153.85,10.37,1.47,65.09,142.01
37.9,38.69,150.37,63.4,3.41,59.01,111.74
157.18,30.84,52.94,29.51,3.91,65.62,148.5
83.94,375.64,147.12,51.69,4.38,34.94,206.92
251.47,216.65,150.82,77.79,0.86,26.68,191.24
9.33,249.81,82.5,71.15,4.13,78.83,146.99
116.83,198.15,46.03,13.65,1.35,139.57,135.8
104.52,46.53,106.65,59.94,2.19,61.84,115.29
10.7,309.55,184.67,96.97,4.52,11.29,173.04
41.69,301.42,129.73,17.36,2.33,107.39,149.17
127.02,131.56,38.72,85.58,1.07,47.21,114.55
150.4,129.43,138.14,70.85,0.88,40.54,133.18
124.27,336.76,88.3,77.85,2.42,52.02,182.16
161.63,38.22,120.35,29.63,3.84,109.95,167.36
180.56,353.63,148.14,30.21,4.99,123.73,261.55
7.93,110.1,105.41,90.79,3.96,90.27,123.0
141.91,241.26,163.73,37.26,4.4,51.76,207.03
289.23,375.04,145.82,8.18,3.76,50.02,277.36
158.11,274.47,124.94,60.86,4.49,23.02,213.73
204.87,171.63,34.4,14.23,0.47,140.33,151.02
97.0,278.92,168.01,80.07,4.66,97.53,212.27
233.33,144.15,187.5,64.89,2.04,8.91,188.75
233.01,118.13,31.71,87.72,4.62,101.04,214.75
158.78,398.71,100.21,78.91,0.47,69.84,183.72
292.92,302.81,55.48,12.99,3.6,146.02,263.33
42.04,261.44,152.13,39.34,3.7,123.76,170.0
10.0,148.56,145.72,77.91,4.98,29.84,142.61
232.2,29.17,32.47,42.9,3.87,109.42,182.3
243.11,22.11,176.02,97.29,1.97,75.41,178.73
40.46,226.13,40.29,74.1,2.83,32.12,122.14
83.35,307.19,160.47,3.52,1.9,106.32,163.59
10.18,219.58,94.11,88.24,1.06,84.37,99.49
91.53,337.91,69.01,11.88,1.32,9.4,136.91
233.08,23.04,35.86,15.77,1.19,98.76,137.42
157.8,153.03,37.68,73.98,2.79,97.07,163.18
107.69,102.46,134.07,86.77,4.54,25.89,164.34
114.66,184.44,112.33,54.56,4.57,55.6,181.98
5.4,38.23,28.81,30.33,0.37,89.96,36.18
93.44,382.11,26.98,36.43,0.49,25.12,132.63
195.71,97.07,19.1,35.6,1.3,128.64,142.93
292.39,369.7,150.03,34.01,1.35,8.99,238.4
254.88,176.1,143.82,25.81,0.56,19.91,172.79
11.96,394.35,16.39,61.67,2.0,21.84,125.61
270.08,226.08,114.25,90.24,2.98,81.58,236.34
236.04,373.02,21.51,32.09,2.93,94.92,233.69
235.21,12.09,181.23,20.3,2.76,63.54,176.69
140.11,301.81,181.89,84.18,1.76,46.86,185.53
122.41,362.19,141.16,74.69,3.56,122.35,221.82
94.36,64.49,185.61,93.22,4.15,14.9,152.29
24.38,47.49,163.23,18.22,1.8,45.64,79.35
72.33,175.58,166.57,16.14,0.52,10.67,100.03
77.75,374.13,116.09,55.06,1.55,7.01,153.18
147.8,221.53,64.68,62.21,0.77,56.24,139.38
225.5,215.71,47.47,49.06,2.39,33.25,186.2
144.77,65.04,68.8,60.7,0.86,43.91,106.86
22.06,10.31,127.56,19.68,2.37,124.04,86.11
287.55,325.95,38.67,49.0,1.18,28.63,212.95
283.1,44.15,55.43,66.49,3.72,118.13,210.55
236.63,257.2,96.27,44.41,0.24,102.88,183.93
297.44,366.7,50.44,68.59,2.82,52.33,256.87
165.62,91.37,119.79,46.22,0.93,84.25,133.71
289.02,269.46,185.02,34.69,0.1,69.44,212.71
27.3,40.69,150.88,31.75,4.36,23.62,113.8
112.88,245.46,134.95,42.27,3.39,136.54,190.05
71.49,73.93,118.63,4.26,0.58,87.59,83.51
62.77,297.02,100.15,67.52,3.35,132.63,176.49
46.54,127.48,41.38,84.82,3.1,124.45,123.92
188.61,190.72,179.47,36.75,2.42,16.57,182.96
235.49,243.78,53.46,6.51,2.15,35.05,189.2
175.6,76.8,22.81,98.7,4.45,26.06,169.5
48.35,299.24,151.25,27.84,1.3,125.46,143.0
244.28,128.03,39.25,14.41,2.05,130.05,180.93
192.61,268.33,77.52,38.24,1.71,81.56,184.08
119.51,71.73,10.52,74.38,3.88,20.11,132.36
203.87,278.37,31.73,30.8,4.59,24.66,217.62
81.67,59.99,38.77,58.32,4.26,122.96,138.72
106.83,175.89,15.61,42.72,4.01,139.73,165.62
275.66,106.41,133.05,13.54,4.94,33.92,231.97
90.7,301.87,168.22,34.37,3.52,6.61,179.05
143.65,112.19,77.8,73.04,3.78,52.99,163.52
267.59,353.87,175.54,61.98,4.92,9.42,285.49
213.78,357.81,46.6,13.74,0.13,125.06,186.21
23.35,86.61,68.45,18.01,3.21,76.27,98.27
48.45,249.4,34.39,64.79,3.72,98.07,151.42
7.31,44.21,126.01,81.71,4.6,64.67,117.5
191.12,162.7,86.87,36.25,4.43,55.1,200.37
137.06,288.2,124.59,60.34,4.23,37.22,206.15
44.61,267.18,153.53,18.72,4.73,116.73,184.71
287.59,253.63,111.41,32.51,2.73,105.85,242.6
161.25,120.19,127.39,3.99,0.13,57.31,118.65
76.36,157.43,187.37,77.29,0.15,51.56,107.91
152.68,50.15,63.32,41.3,2.77,5.18,127.04
205.49,290.42,75.04,81.98,2.23,14.22,195.36
27.49,206.52,144.95,71.42,2.31,95.37,130.16
86.04,286.42,124.2,83.22,2.06,79.62,161.52
243.05,107.09,39.81,29.99,4.6,68.05,206.77
140.6,136.53,78.35,20.14,1.86,124.99,143.96
166.24,140.34,96.23,97.25,4.3,78.07,194.87
132.68,20.04,86.78,72.3,4.52,60.75,154.3
17.95,143.01,39.76,83.74,2.55,28.38,92.59
53.9,323.29,185.26,3.29,2.29,124.0,167.28
136.43,359.95,153.65,36.74,3.83,88.56,224.0
66.71,212.11,98.86,74.8,3.57,18.41,147.71
19.74,187.65,137.61,9.64,1.71,99.09,107.54
253.88,22.02,179.97,57.6,0.6,66.64,157.74
294.45,352.89,31.55,44.05,1.4,122.65,236.86
238.98,15.07,53.82,3.73,0.74,138.24,138.92
256.87,378.45,110.83,25.13,1.54,92.07,234.55
76.38,200.79,160.81,29.91,1.38,111.08,135.23
288.38,143.35,12.07,12.96,3.22,13.21,197.48
63.09,370.45,196.88,63.89,4.78,86.24,219.84
285.67,19.51,93.71,25.75,3.46,114.52,203.88
298.47,236.76,75.05,29.21,4.64,77.03,262.08
214.96,224.08,62.08,90.03,3.94,91.06,221.91
294.44,95.53,39.0,47.78,3.67,135.35,222.81
173.01,177.27,159.36,40.43,2.13,33.72,169.6
81.56,264.38,191.31,72.94,1.69,19.25,149.75
133.91,293.58,85.66,91.14,4.25,105.14,213.72
180.1,10.28,190.72,4.45,4.54,124.31,189.84
26.56,375.37,165.64,45.93,2.31,128.32,169.1
188.59,74.16,98.8,61.86,0.14,98.04,128.15
294.45,101.1,136.44,33.22,3.98,125.82,240.41
61.08,112.75,89.82,77.7,1.5,106.6,106.67
238.82,24.75,113.95,97.2,0.15,17.67,132.17
272.83,57.99,16.32,94.46,4.04,115.5,210.61
283.39,394.68,140.77,28.07,2.64,31.01,260.4
288.24,132.93,15.3,24.18,3.46,39.31,204.36
158.83,54.97,164.33,95.83,4.58,62.22,186.82
293.31,51.73,165.86,46.95,2.75,50.61,206.11
228.41,290.59,51.23,22.41,2.57,51.64,205.64
52.69,343.28,68.11,71.29,1.52,29.54,134.37
145.69,110.21,98.86,29.87,1.6,47.61,129.21
216.91,18.15,121.35,28.19,4.0,7.85,172.64
77.97,97.01,61.03,88.17,2.3,73.57,114.1
193.98,32.04,120.53,17.92,0.9,116.45,134.86
201.65,50.32,63.07,8.31,0.56,130.03,128.97
53.0,178.29,15.82,28.38,2.42,123.96,116.92
171.7,99.67,5.49,61.48,2.38,65.39,141.07
232.63,211.22,24.72,14.06,3.3,110.91,206.58
152.17,108.86,159.49,48.22,2.41,46.74,154.52
8.57,376.81,192.48,63.48,0.8,13.06,128.01
7.67,363.32,88.26,85.18,2.59,103.02,151.76
110.32,231.05,104.97,24.53,4.54,99.08,191.55
278.23,148.23,33.64,82.1,0.88,121.24,185.6
72.46,158.65,112.45,25.02,3.48,94.34,146.43
192.14,170.62,33.21,68.32,3.01,27.75,172.1
70.51,293.76,124.19,44.21,3.77,128.71,185.83
99.89,186.14,186.99,13.24,0.84,95.95,133.52
255.17,344.12,43.16,72.0,4.71,122.1,273.59
220.01,378.2,154.09,23.34,3.14,117.25,253.82
33.14,141.02,9.58,19.31,4.25,48.19,115.82
131.47,228.67,78.22,37.12,1.31,15.81,135.76
13.61,47.07,26.6,66.02,3.72,30.59,85.88
146.86,88.18,73.73,24.93,3.93,18.47,151.61
200.42,171.25,38.84,20.0,2.05,40.29,159.0
39.96,90.42,77.79,2.98,1.98,71.63,86.5
90.22,351.86,86.42,48.22,3.32,136.49,194.57
122.36,71.73,63.62,44.01,0.56,131.44,105.32
276.26,187.71,133.04,24.92,3.7,109.2,242.44
298.01,246.22,184.18,7.26,0.31,8.5,202.73
18.25,279.83,83.12,44.07,1.03,54.5,103.82
229.5,159.4,42.51,79.24,3.35,103.94,203.88
114.66,348.95,57.79,72.1,0.58,23.71,143.81
120.78,231.64,171.53,86.36,4.86,121.16,220.11
227.51,181.41,116.47,2.94,4.36,137.61,231.02
275.94,36.22,93.73,96.71,3.17,56.35,197.33
285.52,191.23,34.18,35.46,4.11,107.35,238.93
175.25,330.09,92.7,99.06,4.45,26.49,230.64
110.35,249.67,59.31,26.76,1.37,105.17,141.99
237.33,334.54,188.92,48.21,4.26,8.11,260.15
79.05,202.66,177.39,36.68,1.05,26.86,122.28
171.4,56.2,21.36,36.86,2.13,107.93,134.76
110.78,15.32,105.75,84.54,2.84,108.22,130.46
198.71,128.26,48.89,75.15,3.6,97.97,188.65
75.92,282.22,85.1,99.23,0.25,74.22,124.35
61.52,318.2,175.99,62.12,1.52,102.86,159.14
275.88,125.34,107.87,47.4,3.08,117.2,220.15
35.03,203.31,70.17,10.83,1.85,145.14,115.82
154.26,174.24,45.54,99.66,3.9,133.85,191.89
70.15,170.1,161.06,56.05,3.29,120.21,159.27
16.48,100.23,126.78,70.65,1.25,105.74,87.31
15.63,63.18,96.27,41.86,0.82,88.25,62.98
56.69,86.71,47.41,55.68,3.18,22.49,103.81
260.7,31.58,70.18,94.37,2.31,29.01,169.52
88.33,87.27,192.17,18.31,0.93,123.94,115.95
285.39,13.59,106.42,30.65,1.7,121.48,179.61
